Question_ID,Category,Clinical_Question,Gold_Reference_Answer,Model_A_Output (Blinded),Model_B_Output (Blinded),Clinician_Preferred_Model (A/B/Tie),Model_A_Factually_Correct (1/0),Model_B_Factually_Correct (1/0),Harmful_Error_Present_In_A (1/0),Harmful_Error_Present_In_B (1/0),Clinician_Notes
CLIN-078,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều ergocalciferol cho trẻ em dưới 1 tháng tuổi là bao nhiêu?,Liều ergocalciferol cho trẻ em dưới 1 tháng tuổi là 25 microgam/ngày (1000 đvqt) trong 2 - 3 tháng; sau đó giảm xuống 10 microgam/ngày (400 đvqt/ngày).,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-079,Special Dosage,Câu hỏi về An toàn Thai kỳ: Natri nitroprusside có an toàn khi sử dụng trong thai kỳ không?,Natri nitroprusside không được khuyến nghị sử dụng trong thai kỳ do khả năng gây độc cho thai nhi.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-080,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều dùng zolpidem cho người già nên được điều chỉnh như thế nào?,"Liều dùng zolpidem cho người già thường cần được giảm xuống để tránh tác dụng phụ như mất thăng bằng, chóng mặt, và nguy cơ té ngã.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-081,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều venlafaxin cho người bệnh suy thận nặng là bao nhiêu?,"Liều venlafaxin cho người bệnh suy thận nặng cần được giảm để tránh tích tụ độc tố trong cơ thể. Tuy nhiên, liều cụ thể cần được điều chỉnh dựa trên tình trạng cụ thể của bệnh nhân và sự giám sát của bác sĩ.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-082,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt...,Người bệnh có suy giảm chức năng gan cần điều chỉnh liều vincristin vì nó có thể làm tăng nguy cơ độc tính.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-083,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt...,Không sử dụng vắc xin này cho người đã bị quá mẫn với thimerosal. Thận trọng khi sử dụng đồng thời cùng các vắc xin khác.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-084,Special Dosage,"Liều venlafaxin hydroclorid 28,3 mg tương đương khoảng 25 mg venlafaxin. Liều khởi đầu cho người lớn và trẻ trên 18 tuổi là 75 mg/ngày chia 2 - 3 lần trong bữa ăn.",Liều khởi đầu đúng là 75 mg/ngày chia 2 - 3 lần trong bữa ăn.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-085,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt: Trẻ em dưới 3 tuổi nên tiêm vắc xin viêm gan B ở cơ nào?,Tiêm tại cơ đùi trước.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-086,Special Dosage,Câu hỏi về An toàn Thai kỳ...,"Vincristin có thể gây tổn hại cho thai. Đối với phụ nữ còn khả năng sinh đẻ, cần dùng các biện pháp tránh thai thích hợp. Nếu người bệnh có thai trong thời gian dùng thuốc, cần cảnh báo họ là thuốc gây tổn hại nặng cho thai.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-087,Special Dosage,Người lớn bị suy gan độ 3: Liều lượng vitamin D có thể là bao nhiêu?,"Liều lượng vitamin D có thể là 250 microgam - 1,5 mg/ngày (10 000 - 60 000 đvqt/ngày), có thể cần đến liều cao tới 12,5 mg/ngày.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-088,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều dùng của natri nitroprusside cho người già là bao nhiêu?,"Liều dùng của natri nitroprusside cho người già nên được điều chỉnh thấp hơn so với người trưởng thành, thường là 50 - 75% liều thông thường.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-089,Special Dosage,Câu hỏi về An toàn Thai kỳ...,"Vắc xin VNNB loại bất hoạt hấp phụ không được khuyến nghị sử dụng cho phụ nữ mang thai vì chưa có dữ liệu an toàn. Tuy nhiên, nếu cần sử dụng trong trường hợp đặc biệt, nên tham khảo ý kiến bác sĩ chuyên khoa.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-090,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều vecuronium bromid cho trẻ em dưới 7 tuần tuổi là bao nhiêu?,Chưa xác định được an toàn và hiệu lực của vecuronium bromid ở trẻ em dưới 7 tuần tuổi. Không nên dùng thuốc này cho trẻ sơ sinh.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-091,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều dùng zolpidem cho người cao tuổi nên được điều chỉnh như thế nào?,Liều dùng zolpidem cho người cao tuổi nên được giảm xuống 1/2 đến 1/3 so với liều tiêu chuẩn do khả năng đào thải giảm và nguy cơ tác dụng phụ ức chế tăng lên.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-092,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều dùng xylometazolin cho trẻ em dưới 6 tuổi?,"Liều dùng xylometazolin cho trẻ em dưới 6 tuổi phải được chỉ định và theo dõi của bác sĩ, sử dụng trong thời gian ngắn để điều trị sung huyết mũi nặng.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-093,Special Dosage,"Trong thai kỳ, nếu mẹ cần bổ sung vitamin D để dự phòng thiếu vitamin D cho cả mẹ và thai nhi, liều bổ sung vitamin D mỗi ngày là bao nhiêu?",10 microgam (400 đvqt) hàng ngày,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-094,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều warfarin cho người già nên được điều chỉnh như thế nào?,"Liều warfarin cho người già thường thấp hơn so với người lớn tuổi, do khả năng chuyển hóa và đào thải của thuốc giảm. Cần theo dõi nồng độ INR thường xuyên hơn để điều chỉnh liều phù hợp.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-095,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt...,"Liều dùng cho trẻ em là 40 mg/kg mỗi ngày, chia làm 3 - 4 lần. Tối đa 2 g/ngày. Không nên vượt quá liều tối đa này.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-096,Special Dosage,Khi dùng verapamil để điều trị loạn nhịp tim ở trẻ em cần lưu ý gì?,Thận trọng khi dùng verapamil để điều trị loạn nhịp tim ở trẻ em vì trẻ em có thể nhạy cảm hơn với chứng loạn nhịp do verapamil gây ra.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-097,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều vancomycin cho người suy thận là bao nhiêu?,"Liều vancomycin cho người suy thận cần được điều chỉnh dựa trên tốc độ lọc cầu thận (Clcr). Ví dụ, nếu Clcr là 40 ml/phút, liều vancomycin sẽ là 45 mg/24 giờ.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-098,Special Dosage,Câu hỏi về An toàn Thai kỳ: Verapamil có an toàn khi sử dụng trong thai kỳ không?,Verapamil có thể gây nguy hiểm cho thai nhi và nên tránh sử dụng trong thai kỳ.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-099,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt...,Liều zolpidem nên được điều chỉnh cho người bệnh suy giảm chức năng hô hấp và người bệnh dùng thuốc kéo dài.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-100,Special Dosage,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều zidovudin cho người già nên được điều chỉnh như thế nào?,"Liều zidovudin cho người già không cần được điều chỉnh đặc biệt nếu không có bệnh lý gan hoặc thận. Tuy nhiên, cần theo dõi chặt chẽ để đảm bảo không có tác dụng phụ.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
